artist1,artist2,dice_coefficient,pages,paragraphs,volume
"Galassi, Galasso (Galasso Ferrarese)",Cristofano,1.0,[104],['112'],['1']
"Galassi, Galasso (Galasso Ferrarese)",Simone,1.0,[104],['112'],['1']
Cristofano,Simone,1.0,[104],['112'],['1']
"Ghiberti, Bonaccorso",Polycletus,1.0,[160],['181'],['1']
Baviera,"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",1.0,[233],['321'],['3']
"Ammanati, Bartolommeo","Bandinelli, Baccio (Baccio de' Brandini)",1.0,[274],['378'],['3']
"Zevio, Aldigieri (Altichiero) da","Verona, Sebeto da",1.0,[55],['60'],['3']
"Zevio, Aldigieri (Altichiero) da","Avanzi, Jacopo (Jacopo Davanzo)",1.0,[55],['60'],['3']
"Verona, Sebeto da","Avanzi, Jacopo (Jacopo Davanzo)",1.0,[55],['60'],['3']
"Conti, Domenico","Salviati, Francesco (Francesco de' Rossi)",1.0,[119],['177'],['4']
"Marchissi, Antonio di Giorgio","Maini (Marini), Michele",1.0,[4],['2'],['4']
"Romano, Paolo","Mino, Maestro (Mino del Regno, or del Reame)",0.8,"[92, 91]","['133', '131']","['2', '2']"
"Dossi, Battista","Dossi, Dosso",0.8,"[140, 141]","['206', '208']","['4', '4']"
Agnolo (of Siena),Agostino (of Siena),0.75,"[98, 99, 100]","['225', '226', '227']","['0', '0', '0']"
"Mainardi, Bastiano (Bastiano da San Gimignano)","Ghirlandajo, David",0.6666666666666666,[231],['339'],['2']
"Pollaiuolo, Piero","Pollaiuolo, Antonio",0.6666666666666666,"[240, 243]","['354', '359']","['2', '2']"
"Dossi, Battista","Bernazzano, Cesare",0.6666666666666666,[141],['208'],['4']
"Cotignola, Francesco da (Francesco de' Zaganelli","Ravenna, Rondinello da (Niccolï¿½ Rondinello)",0.6666666666666666,[265],['370'],['4']
"Nola, Giovanni da","Santa Croce, Girolamo",0.6666666666666666,[138],['201'],['4']
"Memmi, Lippo","Memmi, Simone (Simone Martini, or Sanese)",0.6,"[173, 174, 172]","['337', '339', '334']","['0', '0', '0']"
"Bellini, Jacopo","Bellini, Gentile",0.5714285714285714,"[174, 175]","['252', '254']","['2', '2']"
"Castagno, Andrea dal (Andrea degli Impiccati)","Viniziano, Domenico (Domenico da Venezia)",0.5714285714285714,"[101, 103, 102, 104]","['144', '147', '145', '149']","['2', '2', '2', '2']"
"Montelupo, Baccio da","Montelupo, Raffaello da",0.5714285714285714,"[45, 43]","['58', '53']","['4', '4']"
"Bologhini, Bartolommeo","Laurati, Pietro (Pietro Lorenzetti)",0.5,[120],['260'],['0']
"Daddi, Bernardo","Casentino, Jacopo di",0.5,[25],['25'],['1']
"Filarete, Antonio","Ciuffagni, Bernardo",0.5,[7],['11'],['2']
"Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)","Feltro, Morto da",0.5,[229],['323'],['4']
"Claudio, Maestro","Marcilla, Guglielmo da (Guillaume de Marcillac)",0.5,"[255, 254]","['353', '351']","['3', '3']"
"Caravaggio, Polidoro da (Polidoro Caldara)",Maturino,0.5,"[176, 182]","['249', '258']","['4', '4']"
"Dossi, Dosso","Bernazzano, Cesare",0.5,[141],['208'],['4']
"Pistoia, Il (Leonardo)","Modena, Pellegrino da (Pellegrino degli Aretusi, or de' Munari)",0.5,[80],['110'],['4']
"Vecelli, Tiziano (Tiziano da Cadore)","Licinio, Giovanni Antonio (Cuticello, or Pordenone)",0.4444444444444444,"[153, 152]","['226', '223']","['4', '4']"
"Bellini, Giovanni","Bellini, Gentile",0.42857142857142855,"[174, 182, 179]","['252', '263', '259']","['2', '2', '2']"
Margaritone,"Tedesco, Jacopo (Lapo)",0.4,[65],['181'],['0']
"Tafi, Andrea","Como, Guido da",0.4,[48],['155'],['0']
Simone (brother of Donatello),"Filarete, Antonio",0.4,[4],['6'],['2']
"Baldovinetti, Alesso",Graffione,0.4,[70],['100'],['2']
"Fabriano, Gentile da","Pisanello, Vittore or Antonio",0.4,[113],['161'],['2']
"Caporali, Benedetto (Giovan Battista)","Signorelli, Luca (Luca da Cortona)",0.4,[76],['91'],['3']
"Francia, Francesco",Fivizzano,0.4,[29],['28'],['3']
"Licinio, Giovanni Antonio (Cuticello, or Pordenone)","Amalteo, Pomponio",0.4,[155],['229'],['4']
"Dossi, Dosso","Nola, Giovanni da",0.4,[139],['203'],['4']
"Fiesole, Andrea da (Andrea Ferrucci)","Marchissi, Antonio di Giorgio",0.4,[4],['2'],['4']
"Fiesole, Andrea da (Andrea Ferrucci)","Maini (Marini), Michele",0.4,[4],['2'],['4']
"Gaddi, Agnolo","Gaddi, Giovanni",0.3333333333333333,[217],['406'],['0']
"Maiano, Giuliano da","Donzello, Polito del",0.3333333333333333,[14],['20'],['2']
"Squarcione, Jacopo","Mantegna, Andrea",0.3333333333333333,[280],['418'],['2']
"Bellini, Gentile","Vivarino, Luigi",0.3333333333333333,[179],['259'],['2']
"Francesca, Piero della (Piero Borghese, or Piero dal Borgo a San Sepolcro)","Angelo, Lorentino d'",0.3333333333333333,"[23, 22]","['35', '31']","['2', '2']"
"San Gallo, Giuliano da","San Gallo, Antonio da (the elder)",0.3333333333333333,"[202, 198, 199]","['273', '262', '264']","['3', '3', '3']"
"Licinio, Giovanni Antonio (Cuticello, or Pordenone)","Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)",0.3333333333333333,[153],['226'],['4']
Franciabigio (Francia),"Pontormo, Jacopo da (Jacopo Carrucci)",0.3333333333333333,"[104, 221]","['149', '312']","['4', '4']"
"Cosini, Silvio (Silvio da Fiesole)","Fiesole, Andrea da (Andrea Ferrucci)",0.3333333333333333,[8],['9'],['4']
"Pisano, Giovanni","Pisano, Niccola",0.2857142857142857,"[36, 37]","['126', '127']","['0', '0']"
"Tafi, Andrea","Gaddi, Gaddo",0.2857142857142857,[56],['167'],['0']
"Pisano, Nino","Pisano, Andrea",0.2857142857142857,[131],['278'],['0']
"Maiano, Giuliano da","Maiano, Benedetto da",0.2857142857142857,"[14, 13]","['20', '18']","['2', '2']"
"Ghirlandajo, Domenico","Mainardi, Bastiano (Bastiano da San Gimignano)",0.2857142857142857,"[233, 231]","['342', '339']","['2', '2']"
"Romano, Paolo","Lotti, Lorenzetto (Lorenzo)",0.2857142857142857,[57],['72'],['4']
"Gozzoli, Benozzo","Forlï¿½, Melozzo da",0.2857142857142857,[124],['181'],['2']
"Viniziano, Domenico (Domenico da Venezia)","Messina, Antonello da",0.2857142857142857,[63],['88'],['2']
"Vecelli, Tiziano (Tiziano da Cadore)","Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)",0.2857142857142857,[153],['226'],['4']
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)","Francesco, Mariotto di",0.2857142857142857,[232],['328'],['4']
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)",Tribolo (Niccolï¿½),0.2857142857142857,[233],['330'],['4']
"Albertinelli, Mariotto",Visino,0.2857142857142857,[171],['225'],['3']
